"","geoid2","date","month","day","year","elapsed","country","continent","population_2019","cases","deaths","date_rep","cases_cum","deaths_cum","deaths_cum_log","deaths_cum_l7","deaths_cum_g7","region","gov_effect","trade","ineq","gdp_pc","pop_tot","older_m","older_f","air_travel","fdi","pop_density","urban","pop_below14_2018","migration_share","oil","life_exp_2017","soc_insur_cov","soc_contrib","soc_safety","polity","gini","elf_epr","rq_polarization","count_powerless","share_powerless","media_critical","journal_harass","health_equality","property_rights","transparent_law","bureaucracy_corrupt","pos_gov_lr","polar_rile","trust_people","trust_gov","electoral_pop","federal_ind","woman_leader","checks_veto","polariz_veto","dist_senate","dist_presid","dist_parlm","dist_anyelec","elect_pressure","infections_mers","infections_sars","infections_ebola","infection","vdem_libdem","al_etfra","al_religfra","fe_etfra","vdem_mecorrpt","share_health_ins","pandemic_prep","resp_disease_prev","detect_index","doctors_pc","hosp_beds_pc","literacy_rate","healthcare_qual","acc_sanitation","health_exp_pc","hdi","health_index","respond_index","scode","state_fragility","effect","legit","seceff","secleg","poleff","polleg","ecoeff","ecoleg","soceff","socleg","pr","share_older","pop_tot_log","pop_density_log","distancing_bin","lockdown_bin","lockdown_n","distancing_n","metro_area","iso_3166_2_code","census_fips_code","retail","grocery","parks","transit","work","residential","mobility_index","stringency","C1_School.closing","C2_Workplace.closing","C3_Cancel.public.events","C4_Restrictions.on.gatherings","C5_Close.public.transport","C6_Stay.at.home.requirements","C7_Restrictions.on.internal.movement","C8_International.travel.controls","H1_Public.information.campaigns","temp_cumul","precip_cumul","weeknumber","excess_deaths_weekly","excess_deaths_last_obs","excess_deaths_cum","excess_deaths_cum_log","deaths_cum_per_million","deaths_cum_per_million_log","excess_deaths_cum_per_million","excess_deaths_cum_per_million_log","forcats..fct_explicit_na.geoid2.","relative_start","elapsed_rel","relative_start_d","elapsed_rel_d"
"Serbia","SRB","2021-06-21","6","21","2021","538","Serbia","Europe","","0","0","2021-06-21","715753","7001","8.854","7001","0","Europe & Central Asia","0.112","110.068","","17.355","6.983","551774","729238","14.632","4071895067.821","79.838","19.897","15.69","9.123","0.094","75.539","52.096","35.538","13.404","8","33.675","0.29","0.486","5","0.079","-0.302","-0.369","0.888","0.863","1.027","0.629","0","-0.147","16.618","26.203","1","","1","","","","752","46","46","0.022","","","","0","0.329","","","","2.328","92.142","52.3","2.809","46.2","246.3","570","98.8","77.2","94.6","767","0.8","56.6","55.1","SER","3","1","2","0","0","0","2","1","0","0","0","","18.346","1.943","4.38","","","","","","","","","","","","","","-15.8","","","","","","","","","","","11.628","59.852","25_2021","","","","","1002.635","6.911","","","SRB","6","532","20","518"
"South Sudan","SSD","2021-06-21","6","21","2021","538","South Sudan","Africa","","0","0","2021-06-21","10764","115","4.754","115","0","Sub-Saharan Africa","-2.449","","","","10.976","172079","200936","","60140000","","","41.82","6.679","","57.365","","","","0","","0.77","0.621","7","0.266","-2.446","-1.443","-2.918","0.12","-2.363","0.96","0","","","","0","","0","1","1","","","","2000","0","","","","0","0.053","","","","0.715","","21.7","3.421","15.9","1.5","76","26.8","26.8","10.4","28","0.4","13.6","24.3","SSU","22","11","11","2","3","3","3","3","3","3","2","1","3.398","2.396","","","","","","","","","","","","","","","","","","","","","","","","","","28.006","75.139","25_2021","","","","","10.477","2.44","","","SSD","34","504","62","476"
"São Tomé & Príncipe","STP","2021-06-21","6","21","2021","538","São Tomé & Príncipe","Africa","","0","0","2021-06-21","2362","37","3.638","37","0","Sub-Saharan Africa","-0.639","","","3.945","0.211","2665","3508","","23698321.486","219.821","","42.52","1.258","0","69.933","","","","","32","","","","","0.775","1.875","0.179","0.777","1.493","0.291","0.2","-0.485","","","0","","0","","","","493","940","493","0.002","","","","0","0.611","","0.187","","2.329","2.1","17.7","2.935","2.7","54.1","290","90.1","39.3","40.1","79","0.6","7.2","18.7","","","","","","","","","","","","","","2.925","-1.556","5.393","","","","","","","","","","","","","","","","","","","","","","","","","24.578","180.089","25_2021","","","","","175.332","5.172","","","STP","27","511","55","483"
"Suriname","SUR","2021-06-21","6","21","2021","538","Suriname","America","","0","0","2021-06-21","20141","467","6.148","467","0","Latin America & Caribbean","-0.655","","","16.609","0.576","16749","23030","12.515","130960766.326","3.692","","27.17","8.626","4.871","71.463","","","","5","","0.772","0.679","3","0.27","1.192","1.54","0.658","0.75","0.522","0.539","0","","","","0","","0","2","2","","1901","75","75","0.013","","","","0","0.645","0.733","0.791","","3.147","","36.5","3.366","36.7","81.7","310","92.9","54.5","79.2","630","0.7","16.5","47.3","SUR","5","1","4","0","0","0","1","1","3","0","0","1","6.906","-0.552","1.306","","","","","","","","","","","","","","","","","","","","","","","","","26.046","203.989","25_2021","","","","","810.777","6.699","","","SUR","20","518","104","434"
"Slovakia","SVK","2021-06-21","6","21","2021","538","Slovakia","Europe","","0","0","2021-06-21","777837","12496","9.433","12496","0","Europe & Central Asia","0.707","190.418","","32.067","5.447","334878","516386","","2250850832.07","113.286","","15.446","3.265","0.027","77.166","","38.942","","10","24.843","0.332","0.572","0","0","2.048","0.881","1.075","0.891","1.009","0.257","0.167","-0.37","","","0","0.62","0","2","2","","1466","1450","1450","0.001","","","","0","0.749","0.254","0.565","0.332","3.554","94.8","47.9","2.829","46","345","580","99.9","83.3","98.9","1734","0.9","37.9","34.1","SLO","1","0","1","0","0","0","1","0","0","0","0","1","15.629","1.695","4.73","","","","","","","","","","","","","","-20","","","","","","","","","","","7.989","65.55","25_2021","","","","","2294.203","7.739","","","SVK","13","525","48","490"
"Slovenia","SVN","2021-06-21","6","21","2021","538","Slovenia","Europe","","0","0","2021-06-21","257066","4741","8.464","4741","0","Europe & Central Asia","1.126","160.809","","38.022","2.074","172939","233689","13.906","1538137615.355","102.964","","15.022","11.413","0","81.029","","39.883","","10","24.988","0.283","0.557","3","0.005","0.782","0.684","1.203","0.879","1.644","0.115","0.6","-0.002","20.113","7.981","0","","0","5","","994","955","841","841","0.001","","","","0","0.812","0.222","0.287","0.231","3.284","100","67.2","2.774","73.7","282","460","99.7","90.8","99.1","2004","0.9","54.9","63.3","SLV","0","0","0","0","0","0","0","0","0","0","0","1","19.607","0.729","4.634","","","","","","","","","","","","","","-38.8","","","","","","","","","","","10.313","99.994","25_2021","","","","","2286.038","7.735","","","SVN","6","532","27","511"
"Sweden","SWE","2021-06-21","6","21","2021","538","Sweden","Europe","10327589","2752","7","2021-06-21","1087353","14608","9.589","14601","0.001","Europe & Central Asia","1.831","89.131","","53.146","10.175","947970","1096801","","-2101806713.724","24.981","15.557","17.582","16.768","0","82.41","","9.184","","10","25.625","0","0","0","0","2.602","2.749","2.158","0.892","3.512","0.031","1","-0.969","61.769","60.793","0","0.209","0","4","4","","","914","914","0.001","","5","","0","0.875","0.06","0.234","0.189","3.865","100","72.1","4.489","86","418.8","260","99.9","95.5","99.3","4498","0.9","49.3","62.8","SWD","0","0","0","0","0","0","0","0","0","0","0","1","20.096","2.32","3.218","","","","","","","","","","","","","","-17.4","","","","","","","","","","","2.559","49.902","25_2021","","","","","1435.645","7.27","","","SWE","62","476","76","462"
"Eswatini","SWZ","2021-06-21","6","21","2021","538","Eswatini","Africa","","0","0","2021-06-21","18813","677","6.519","677","0","Sub-Saharan Africa","-0.66","84.413","","8.606","1.136","16399","29196","","31130826.657","66.058","","38.112","2.454","0","58.319","5.714","","80.367","-9","","0","0","0","0","-0.91","-0.451","-0.823","0.119","0.029","0.899","0.25","0.144","8.511","","0","-0.875","0","1","1","","","1298","1298","0.001","","","","0","0.102","0.058","0.444","0.28","2.815","6.2","31.1","3.267","25.5","14.7","210","83.1","40.5","58","460","0.6","6.5","29.3","SWA","7","4","3","0","1","1","0","1","0","2","2","0","4.013","0.128","4.191","","","","","","","","","","","","","","","","","","","","","","","","","22.931","69.072","25_2021","","","","","595.851","6.392","","","SWZ","34","504","111","427"
"Sint Maarten","SXM","2021-06-21","6","21","2021","538","Sint Maarten","America","","0","0","2021-06-21","2570","32","3.497","32","0","Latin America & Caribbean","","","","","0.041","","","","-133356665.302","","","","70.448","","","","","","","","","","","","","","","","","","","","","","0","","0","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-3.203","","","","","","","","","","","","","","","","","","","","","","","","","","","","25_2021","","","","","787.13","6.67","","","SXM","13","525","27","511"
"Seychelles","SYC","2021-06-21","6","21","2021","538","Seychelles","Africa","","0","0","2021-06-21","14414","52","3.97","52","0","Sub-Saharan Africa","0.502","182.355","","27.997","0.097","3139","4209","13.028","307664653.791","210.352","","23.635","13.259","0","74.3","","0.207","","","40.775","","","","","0.446","1.573","1.825","0.51","2.113","0.212","0.333","","","","0","","0","","","","2053","2051","2051","0","","","","0","0.425","0.202","0.232","","2.012","","31.9","3.312","33.4","98.4","360","94","65.6","100","1077","0.8","19.9","20.7","","","","","","","","","","","","","","7.594","-2.336","5.349","","","","","","","","","","","","","","","","","","","","","","","","","28.007","165.461","25_2021","","","","","537.401","6.289","","","SYC","27","511","349","189"
"Syria","SYR","2021-06-21","6","21","2021","538","Syria","Asia","","0","0","2021-06-21","25118","1845","7.521","1845","0","Middle East & North Africa","-1.671","","","","16.906","350534","410784","9.792","","92.067","31.754","31.422","4.73","","70.967","","","","-9","","0.543","0.714","4","0.86","-2.271","-1.552","-2.066","0.371","-1.569","0.828","0.571","1.901","","","0","","0","2","2","","449","33","33","0.03","","","","0","0.037","0.54","0.431","0.581","0.26","90","19.9","3.572","2.7","154.6","150","52.5","67.2","92.9","","0.5","24.4","23","SYR","14","7","7","2","3","1","3","2","1","2","0","0","4.503","2.828","4.523","","","","","","","","","","","","","","","","","","","","","","","","","18.304","29.261","25_2021","","","","","109.131","4.702","","","SYR","20","518","111","427"
"Turks & Caicos Islands","TCA","2021-06-21","6","21","2021","538","Turks & Caicos Islands","America","","0","0","2021-06-21","2424","18","2.944","18","0","Latin America & Caribbean","","","","26.431","0.038","","","","42227000","39.647","","","34.037","0","","","","","","","","","","","","","","","","","","","","","0","","0","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-3.279","3.68","","","","","","","","","","","","","","","","","","","","","","","","","","","25_2021","","","","","477.897","6.171","","","TCA","27","511","328","210"
"Chad","TCD","2021-06-21","6","21","2021","538","Chad","Africa","","0","0","2021-06-21","4946","174","5.165","174","0","Sub-Saharan Africa","-1.529","74.205","","1.576","15.478","175225","208703","","460890505.99","12.292","8.546","47.126","3.683","15.019","53.712","2.478","","0.572","-2","42.65","0.629","0.788","1","0.04","0.261","-0.827","-1.638","0.616","-1.213","0.939","0","","","","0","-0.997","0","2","2","","395","583","395","0.003","","","","0","0.105","0.862","0.641","0.772","1.277","","28.8","3.286","36.5","4.4","40","22.3","25.4","9.5","18","0.4","6.6","34.5","CHA","19","10","9","1","2","3","1","3","3","3","3","1","2.481","2.739","2.509","","","","","","","","","","","","","","","","","","","","","","","","","27.415","22.898","25_2021","","","","","11.242","2.505","","","TCD","27","511","48","490"
"Togo","TGO","2021-06-21","6","21","2021","538","Togo","Africa","","0","0","2021-06-21","13721","128","4.86","128","0","Sub-Saharan Africa","-1.058","73.606","","1.553","7.889","103651","122727","13.247","-180972714.796","145.047","22.129","41.335","3.79","0","60.489","3.01","","","-2","43.817","0.649","0.885","1","0.44","0.557","1.266","-0.673","0.784","-0.892","0.742","0.143","1.497","17.821","","0","0.62","0","2","2","","1809","1379","1379","0.001","","","","0","0.267","0.71","0.66","0.883","2.099","4","32.5","3.086","46.8","5.3","70","63.7","32","13.9","20","0.5","10","30.4","TOG","13","8","5","0","0","2","3","4","0","2","2","1","2.87","2.065","4.977","","","","","","","","","","","","","","10.8","","","","","","","","","","","28.224","95.389","25_2021","","","","","16.225","2.846","","","TGO","13","525","62","476"
"Thailand","THA","2021-06-21","6","21","2021","538","Thailand","Asia","69799978","22042","192","2021-06-21","221306","1658","7.414","1466","0.155","East Asia & Pacific","0.35","120.899","28.2","18.087","69.429","3610237","4652417","18.147","13205107281.295","135.897","20.055","17.087","5.758","0.591","76.683","14.369","5.087","59.333","-3","40.275","0.319","0.552","2","0.015","0.329","0.014","0.436","0.655","-1.824","0.719","0","1.888","30.573","55.675","0","-0.441","0","1","1","","","1115","1115","0.001","3","9","","0","0.091","0.634","0.099","0.431","2.931","98","73.2","2.538","81","47","210","92.9","69.5","95","496","0.8","70.5","78.6","THI","8","5","3","2","2","2","1","1","0","0","0","0","11.901","4.24","4.912","","","","","","","","","","","","","","-11","","","","","","","","","","","27.231","128.067","25_2021","","","","","23.881","3.214","","","THA","34","504","97","441"
"Tajikistan","TJK","2021-06-21","6","21","2021","538","Tajikistan","Asia","","0","0","2021-06-21","13714","91","4.522","91","0","Europe & Central Asia","-1.098","","","3.235","9.101","128590","146426","13.107","220862232.338","65.573","","36.784","3.243","0.065","70.647","34.149","","9.75","-3","43.767","0.31","0.539","4","0.157","-1.237","-1.334","-1.946","0.218","-0.842","0.887","0","","20.583","90.84","0","0.687","0","2","2","16","16","1846","16","0.062","","","","0","0.05","0.511","0.339","0.513","1.67","0.329","32.3","1.606","24.1","171.4","480","99.8","51.7","95.5","60","0.7","20.5","42.9","TAJ","11","5","6","0","1","1","2","3","2","1","1","0","3.022","2.208","4.183","","","","","","","","","","","","","","-14.2","","","","","","","","","","","2.1","46.876","25_2021","","","","","9.999","2.398","","","TJK","6","532","13","525"
"Timor-Leste","TLS","2021-06-21","6","21","2021","538","Timor-Leste","Asia","","0","0","2021-06-21","8707","19","2.996","19","0","East Asia & Pacific","-0.983","63.007","","3.08","1.268","25444","29292","","47925664.571","85.27","","37.781","0.914","26.652","69.007","1.241","","35.209","8","33.08","0","0","0","0","0.918","0.98","-0.841","0.594","0.761","0.479","0.25","-0.025","","","0","-0.997","0","3","","","739","1221","739","0.001","","","","0","0.466","","","","2.111","","26","3.483","25.7","7.8","590","58.3","43.4","44","68","0.6","9.7","30.2","ETM","7","5","2","0","0","1","0","3","1","1","1","1","4.317","0.237","4.446","","","","","","","","","","","","","","","","","","","","","","","","","25.596","108.519","25_2021","","","","","14.985","2.772","","","TLS","34","504","426","112"
"Trinidad & Tobago","TTO","2021-06-21","6","21","2021","538","Trinidad & Tobago","America","","0","0","2021-06-21","30619","737","6.604","737","0","Latin America & Caribbean","0.19","","","26.273","1.39","66754","82442","14.742","-701876422.869","270.927","","20.42","3.668","3.102","73.245","","9.435","","10","","0.665","0.889","0","0","1.202","1.169","1.811","0.85","1.588","0.141","0.333","-1.945","3.219","36.698","0","","0","3","3","","1044","234","234","0.004","","","","0","0.629","0.648","0.794","0.647","2.9","","36.6","3.29","14.7","182.1","300","98.7","64.3","92.1","1151","0.8","23.7","43.2","TRI","3","0","3","0","0","0","1","0","1","0","1","0","10.735","0.329","5.602","","","","","","","","","","","","","","-17.4","","","","","","","","","","","26.23","119.759","25_2021","","","","","530.27","6.275","","","TTO","13","525","160","378"
"Tunisia","TUN","2021-06-21","6","21","2021","538","Tunisia","Africa","","0","0","2021-06-21","382950","14038","9.55","14038","0","Middle East & North Africa","-0.105","111.24","","10.764","11.565","432113","529652","15.268","988942901.04","74.441","19.807","24.17","0.504","1.553","76.31","","25.461","14.426","7","39.05","0.039","0.078","0","0","2.344","1.532","-0.052","0.892","1.652","0.389","0","-0.208","14.249","12.078","0","0.37","0","","","","1718","1670","1670","0.001","3","","","0","0.648","0.039","0.01","0.039","3.06","80","33.7","3.459","26.3","128.9","230","79","69.4","93.1","457","0.7","24","39.1","TUN","4","2","2","0","1","1","0","1","0","0","1","1","8.316","2.448","4.31","","","","","","","","","","","","","","","","","","","","","","","","","19.531","25.681","25_2021","","","","","1213.813","7.102","","","TUN","6","532","27","511"
"Turkey","TUR","2021-06-21","6","21","2021","538","Turkey","Europe","","0","0","2021-06-21","5370299","49185","10.803","49185","0","Europe & Central Asia","0.006","60.157","32.6","28.299","82.32","2970028","4013183","18.566","13023000000","106.96","36.855","24.649","3.769","0.056","77.161","36.06","24.614","17.96","-4","40.144","0.401","0.684","0","0","-0.707","-1.165","0.17","0.392","-1.232","0.721","0","3.816","14.262","69.907","1","-0.202","0","2","2","","1201","1201","1201","0.001","1","","","0","0.225","0.32","0.005","0.299","1.079","86","52.4","4.02","45.6","174.9","270","96.2","74.4","96.4","854","0.8","45.7","49","TUR","9","5","4","2","2","3","2","0","0","0","0","1","8.483","4.411","4.672","","","","","","","","","","","","","","-20","","","","","","","","","","","11.635","53.135","25_2021","","","","","597.487","6.394","","","TUR","6","532","13","525"
"Taiwan","TWN","2021-06-21","6","21","2021","538","Taiwan","Asia","23816775","974","117","2021-06-21","14080","569","6.346","452","0.58","East Asia & Pacific","1.362","","","","","","","","","","","","","","","","","","10","29.967","0.274","0.521","1","0.02","1.282","0.656","2.627","0.88","2.347","0.174","0","-1.538","30.792","53.088","0","","1","3","3","","1401","1401","1401","0.001","","346","","1","0.688","0.274","0.684","0.274","2.683","99.603","","2.88","","","","","","","","","","","TAW","1","0","1","0","0","0","1","0","0","0","0","1","","","","","","","","","","","","","","","","","-6.4","","","","","","","","","","","","","25_2021","","","","","","","","","TWN","34","504","433","105"
"Tanzania","TZA","2021-06-21","6","21","2021","538","Tanzania","Africa","","0","0","2021-06-21","509","21","3.091","21","0","Sub-Saharan Africa","-0.756","","","2.59","56.318","616152","848867","14.209","1055991268.202","63.579","12.52","44.098","0.489","0","64.479","1.293","","10.935","3","43.883","0.506","0.913","3","0.036","0.377","-0.189","0.185","0.584","1.161","0.172","0.333","-0.62","11.474","","0","","0","3","3","","2054","2054","2054","0","","","","0","0.391","0.735","0.633","0.953","2.637","13","36.4","3.702","42","2.2","70","77.9","33.9","23.5","45","0.5","8.2","36.8","TAZ","10","6","4","0","1","1","1","3","1","2","1","0","2.601","4.031","4.152","","","","","","","","","","","","","","-3.6","","","","","","","","","","","23.178","104.18","25_2021","","","","","0.373","0.317","","","TZA","6","532","41","497"
"Uganda","UGA","2021-06-21","6","21","2021","538","Uganda","Africa","","0","0","2021-06-21","71543","660","6.494","660","0","Sub-Saharan Africa","-0.606","36.868","","2.122","42.723","329441","499827","9.978","1055353352.63","213.062","6.99","46.931","1.92","0","62.516","0.881","","60.472","-1","43.986","0.845","0.496","2","0.18","1.028","0.99","-1.378","0.529","0.087","0.733","0","1.049","15.528","","0","","0","3","3","","344","344","344","0.003","","","","0","0.292","0.93","0.633","0.93","3.002","2","44.3","4.246","50.3","9.3","50","70.2","31.4","19.2","19","0.5","11.6","56.5","UGA","14","9","5","1","1","2","2","4","1","2","1","0","1.941","3.755","5.362","","","","","","","","","","","","","","-14.8","","","","","","","","","","","23.717","114.181","25_2021","","","","","15.448","2.8","","","UGA","13","525","153","385"
"Ukraine","UKR","2021-06-21","6","21","2021","538","Ukraine","Europe","","0","0","2021-06-21","2229846","52032","10.86","52032","0","Europe & Central Asia","-0.415","99.119","22","12.338","44.623","2455747","4877703","15.877","4576000000","77.03","12.11","15.812","10.786","0.243","71.781","50.316","20.229","34.745","4","26.986","0.327","0.584","3","0.012","1.559","0.019","0.531","0.856","-0.63","0.463","0","0.544","24.751","25.345","0","","0","3","","","1481","1313","1313","0.001","","","","0","0.235","0.474","0.616","0.419","1.649","100","38","3.266","36.5","300","880","100","74.6","95.9","227","0.8","23","34.8","UKR","9","4","5","1","2","1","3","2","0","0","0","1","16.434","3.798","4.344","","","","","","","","","","","","","","-10.2","","","","","","","","","","","9.387","42.248","25_2021","","","","","1166.048","7.062","","","UKR","13","525","27","511"
"Uruguay","URY","2021-06-21","6","21","2021","538","Uruguay","America","","0","0","2021-06-21","354865","5271","8.57","5271","0","Latin America & Caribbean","0.558","39.992","29.7","21.591","3.449","199081","311936","","1171934318.525","19.708","50.358","20.608","2.092","0","77.632","35.233","31.458","57.796","10","36.8","0.169","0.327","1","0.078","2.253","2.283","2.539","0.853","2.137","0.093","1","-2.77","15.249","39.355","0","-0.053","0","2","2","1691","1691","1691","1691","0.001","","","","0","0.786","0.25","0.355","0.218","3.638","97.2","41.3","3.291","33.5","373.6","280","98.6","71","95.7","1404","0.8","24.1","41.3","URU","2","0","2","0","0","0","0","0","2","0","0","1","14.815","1.238","2.981","","","","","","","","","","","","","","-19.4","","","","","","","","","","","18.761","115.48","25_2021","","","","","1528.137","7.332","","","URY","13","525","41","497"
"United States","USA","2021-06-21","6","21","2021","538","United States","America","331002647","80348","2056","2021-06-21","33542378","601825","13.308","599769","0.004","North America","1.577","27.564","","61.391","326.688","23058935","28582660","20.606","261482000000","35.714","46.326","18.709","14.491","0.177","78.539","","37.925","","8","37.837","0.524","0.731","3","0.057","2.151","1.651","0.159","0.812","2.119","0.075","0.167","","37.182","33.937","1","1.298","0","4","4","237","237","237","237","0.004","2","27","4","0","0.822","0.49","0.824","0.491","3.725","84","83.5","4.133","98.2","256.8","290","99.9","88.7","100","8078","0.9","73.8","79.7","USA","4","2","2","2","1","0","1","0","0","0","0","0","15.808","5.789","3.576","","","","","","","","","","","","","","-20.4","","","","","","","","","","","8.996","68.581","25_2021","","","","","1842.204","7.519","","","USA","34","504","69","469"
"Uzbekistan","UZB","2021-06-21","6","21","2021","538","Uzbekistan","Asia","","0","0","2021-06-21","106452","718","6.578","718","0","Europe & Central Asia","-0.547","66.628","","6.755","32.956","632257","824102","14.933","624686535.504","77.471","7.477","28.686","3.917","0.721","71.388","20.12","20.636","6.692","-9","","0.349","0.554","3","0.13","-1.365","-1.474","0.596","0.639","0.147","0.72","0","-1.123","14.092","97.143","0","","0","1","1","1787","633","1756","633","0.002","","","","0","0.038","0.413","0.213","0.485","0.345","100","34.3","1.955","19.4","245.1","400","100","62.9","100","192","0.7","16","27.8","UZB","11","4","7","0","1","0","3","3","3","1","0","0","4.419","3.495","4.35","","","","","","","","","","","","","","","","","","","","","","","","","12.737","19.185","25_2021","","","","","21.787","3.126","","","UZB","13","525","55","483"
"Vatican City","VAT","2021-06-21","6","21","2021","538","Vatican City","Europe","","0","0","2021-06-21","27","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","-1.281","-1.731","","0.159","-1.668","0.483","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25_2021","","","","","","","","","VAT","55","483","",""
"St. Vincent & Grenadines","VCT","2021-06-21","6","21","2021","538","St. Vincent & Grenadines","America","","0","0","2021-06-21","2195","12","2.565","12","0","Latin America & Caribbean","0.196","","","12.466","0.11","5201","5367","","110052363.629","282.59","","22.541","4.181","0","72.3","","","","","","","","","","","","","","","","","","","","0","","0","","","","","269","269","0.004","","","","0","","0.307","0.703","","","9.4","33","3.294","20.6","57.4","260","94.2","57.4","87.2","314","0.7","19","29.2","","","","","","","","","","","","","","9.589","-2.205","5.644","","","","","","","","","","","","","","","","","","","","","","","","","27.285","112.611","25_2021","","","","","108.883","4.699","","","VCT","20","518","363","175"
"Venezuela","VEN","2021-06-21","6","21","2021","538","Venezuela","America","","0","0","2021-06-21","260740","2973","7.998","2973","0","Latin America & Caribbean","-1.582","","","","28.87","930406","1167747","14.575","886000000","32.731","32.352","27.667","4.515","","72.246","","","","-3","37.483","0.265","0.495","2","0.152","-0.65","-0.483","-2.354","0.709","-1.984","0.973","1","1.968","","17.519","1","0.432","0","2","2","","1531","270","270","0.004","","","","0","0.142","0.497","0.135","0.483","2.78","100","23","3.42","8.7","192.5","80","97.1","67.8","94.9","973","0.8","12.9","19.7","VEN","14","5","9","1","2","3","3","1","3","0","1","1","7.268","3.363","3.488","","","","","","","","","","","","","","-23.6","","","","","","","","","","","25.944","144.283","25_2021","","","","","102.978","4.644","","","VEN","6","532","48","490"
"British Virgin Islands","VGB","2021-06-21","6","21","2021","538","British Virgin Islands","America","","0","0","2021-06-21","298","1","0.693","1","0","Latin America & Caribbean","","","","","0.03","","","","58776983523.091","198.68","","","57.469","","","","","","","","","","","","","","","","","","","","","","0","","0","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-3.513","5.292","","","","","","","","","","","","","","","","","","","","","","","","","","","25_2021","","","","","33.555","3.543","","","VGB","153","385","",""
"U.S. Virgin Islands","VIR","2021-06-21","6","21","2021","538","U.S. Virgin Islands","America","","0","0","2021-06-21","3768","30","3.434","30","0","Latin America & Caribbean","0.83","","","","0.107","9101","11538","","","305.649","","19.713","53.364","0","79.42","","","","","","","","","","","","","","","","","","","","0","","0","","","","","","","","","","","0","","","","","","","","3.181","","","","","","","","","","","","","","","","","","","","","","","","19.293","-2.235","5.722","","","","","","","","","","","","","","","","","","","","","","","","","26.093","182.656","25_2021","","","","","280.434","5.64","","","VIR","6","532","153","385"
"Vietnam","VNM","2021-06-21","6","21","2021","538","Vietnam","Asia","97338583","917","7","2021-06-21","11647","66","4.205","59","0.113","East Asia & Pacific","-0.003","208.307","27.5","7.586","95.54","2710562","4239888","17.667","15500000000","308.125","16.91","23.173","0.078","1.272","75.241","15.249","","17.507","-7","35.029","0.274","0.447","9","0.106","-1.404","-1.12","0.345","0.67","-0.486","0.641","1","-1.151","27.667","94.652","0","-0.202","0","1","1","","","437","437","0.002","","63","","0","0.193","0.238","0.508","0.233","0.969","61","49.1","2.862","57.4","82.1","260","93.5","60.3","78.2","169","0.7","28.3","43","VIE","7","4","3","0","1","1","2","2","0","1","0","0","7.275","4.56","5.731","","","","","","","","","","","","","","-6.4","","","","","","","","","","","24.989","133.491","25_2021","","","","","0.691","0.525","","","VNM","41","497","223","315"
"Vanuatu","VUT","2021-06-21","6","21","2021","538","Vanuatu","Oceania","","0","0","2021-06-21","3","0","0","0","","East Asia & Pacific","-0.492","","","3.13","0.293","5555","5097","12.834","37582280.018","24.01","","38.848","1.204","0","70.172","","","","","39.9","","","","","0.984","0.337","0.737","0.75","1.331","0.439","0","-0.692","","","0","","0","5","","","","8","8","0.125","","","","0","0.631","0.041","0.704","","3.296","100","26.1","3.371","15","18.6","170","97.1","32.4","53.5","63","0.6","6.6","24.8","","","","","","","","","","","","","0","3.639","-1.229","3.178","","","","","","","","","","","","","","","","","","","","","","","","","24.519","254.124","25_2021","","","","","0","0","","","VUT","","","",""
"Wallis & Futuna","WLF","2021-06-21","6","21","2021","538","Wallis & Futuna","Oceania","","0","0","2021-06-21","454","7","2.079","7","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","27.654","329.567","25_2021","","","","","","","","","WLF","146","392","",""
"Yemen","YEM","2021-06-21","6","21","2021","538","Yemen","Asia","","0","0","2021-06-21","6885","1355","7.212","1355","0","Middle East & North Africa","-2.244","","","","28.499","373355","446340","12.726","-282098333.333","53.978","9.752","39.615","1.283","0.791","66.086","","","","0","36.8","0.625","0.875","1","0.49","-0.427","-1.519","-2.924","0.426","-1.826","0.797","0.25","0.756","40.399","29.762","0","","0","","","","","","2000","0","1","","","0","0.041","","0.002","0.078","1.026","42","18.5","4.518","9","31.1","70","52.5","43.3","59.7","72","0.5","7.6","19","YEM","21","10","11","2","3","3","3","3","3","2","2","","2.876","3.35","3.989","","","","","","","","","","","","","","26.6","","","","","","","","","","","24.256","13.007","25_2021","","","","","47.546","3.883","","","YEM","27","511","41","497"
